62.78,126.45
62.56,125.79
152.67,136.07
159.1,119.43
131.65,64.93
116.94,60.48
155.7,89.71
82.45,68.28
86.71,65.75
82.02,68.56
110.63,60.0
143.45,72.84
82.5,151.76
84.19,152.82
64.16,129.96
92.43,156.81
80.19,69.86
92.0,156.65
108.94,159.99
96.29,61.92
153.1,135.34
75.63,146.31
60.09,107.06
159.16,100.9
159.89,113.25
108.54,60.02
94.85,62.35
66.81,135.2
102.79,60.52
159.43,102.49
77.17,147.71
104.58,60.3
62.03,95.89
94.65,62.41
127.54,156.82
84.51,153.01
159.9,113.21
160.0,109.62
60.1,106.8
60.44,116.61
60.49,103.03
86.28,154.01
92.08,156.68
157.95,124.18
148.37,77.94
69.18,81.12
92.87,156.97
60.53,102.77
159.95,107.77
92.72,63.08
74.22,75.07
61.71,122.96
81.29,69.07
106.76,159.89
93.12,62.94
110.81,159.99
148.87,141.45
113.89,60.15
68.68,81.85
112.86,60.08
157.79,95.32
126.22,157.3
154.14,86.51
97.1,61.69
60.06,112.41
85.77,153.74
84.22,67.16
121.04,61.23
60.4,103.69
81.99,68.58
61.9,123.64
151.76,82.5
60.01,109.05
145.72,75.01
150.82,138.88
92.69,63.09
81.0,150.73
132.03,65.12
90.37,64.01
158.43,122.45
128.85,63.69
78.11,71.49
85.67,66.32
143.0,72.44
87.2,65.5
140.95,70.73
112.93,60.09
83.16,67.82
100.87,159.16
144.62,73.93
142.74,147.79
106.99,60.09
124.63,62.19
126.06,157.35
111.28,60.02
72.09,142.6
115.1,159.74
73.94,144.64
158.7,98.67
75.0,74.29
158.89,22.77
116.23,209.81
35.58,43.2
11.54,127.46
11.23,125.61
10.16,104.27
209.43,99.31
199.5,154.61
165.12,193.44
126.65,208.6
10.04,107.23
101.45,10.37
189.75,170.33
48.72,189.02
10.61,121.07
201.73,70.18
88.64,207.69
147.14,17.15
31.83,47.63
154.98,20.69
10.4,101.04
77.98,15.27
195.17,162.39
201.31,150.77
22.36,158.15
93.62,208.65
201.3,150.79
34.35,175.4
58.16,24.48
21.27,156.13
176.54,35.35
32.33,47.01
203.98,75.83
149.76,201.76
29.51,50.66
11.55,127.52
87.6,12.54
123.56,10.92
10.26,102.73
209.54,100.38
63.49,21.47
10.66,121.49
209.85,115.43
87.14,12.65
203.69,75.05
81.45,205.84
125.73,11.25
122.52,209.21
187.77,172.86
53.3,27.63
201.12,151.2
101.06,209.6
207.43,132.53
167.09,27.9
59.19,23.87
54.82,26.6
16.9,146.49
13.12,85.23
19.52,152.57
201.73,70.18
25.56,56.43
209.79,103.56
10.19,103.77
20.66,154.93
38.99,39.59
10.98,123.94
75.59,203.89
177.59,36.3
36.32,42.39
25.98,55.77
10.47,119.66
11.03,95.7
166.29,192.65
25.23,163.04
33.85,45.18
69.97,18.36
163.23,194.65
204.65,142.27
191.42,168.05
204.85,141.67
190.59,50.8
160.4,23.63
145.27,203.57
16.93,146.59
146.62,203.05
189.8,170.26
64.57,199.09
186.44,174.47
99.99,209.5
204.83,141.75
209.97,107.52
81.6,14.12
205.98,81.94
202.26,71.42
105.91,209.92
209.83,115.79
200.86,151.77
83.38,206.39
23.64,59.59
45.94,186.79
129.87,104.47
135.91,170.92
100.63,100.63
173.17,140.7
91.22,131.7
91.46,91.37
119.68,33.47
41.0,87.51
69.49,122.57
73.68,53.51
168.63,100.97
112.7,53.01
88.22,114.44
63.96,125.03
85.97,98.33
85.93,184.09
109.46,67.69
142.9,61.17
118.35,31.61
56.87,117.87
